song_ID,title,singer,total,senti_ID
281,斯德哥尔摩情人,陈奕迅,13205,1.0
282,Bad Dream,Chlöe Howl,1817,0.6666666666666666
283,于心有愧,陈奕迅,20827,0.7857142857142857
284,杳杳 ,方糖泡泡，MT1990,5162,0.75
285,味道,辛晓琪,1354,1.0
286,月亮惹的祸,张宇,16391,0.9166666666666666
287,还想听你的故事,谢春花，王碧浪,33402,0.8
288,到不了,范玮琪,16485,0.5
289,无人之境,陈奕迅,11055,0.8333333333333334
290,老街,李荣浩,104146,0.8
291,闹海,哪吒乐队,3966,0.75
292,我一定会爱上你,谢春花,46349,0.7142857142857143
293,都是你的错,郑中基，陈慧琳,2594,0.8571428571428571
294,Chupee,Cocoon,1461,0.0
295,黑白照,邓丽欣,5601,0.6666666666666666
296,用心良苦,张宇,11628,0.0
297,Hope World,j-hope,2912,1.0
298,至此流年各天涯,我不李志,53862,0.7142857142857143
299,天与地,王菲,1095,0.7
300,Feel Good Sunshine,Tim Myers,1605,1.0
301,爱你就像爱生命,房东的猫,25071,0.75
302,Make Them Wheels Roll,SAFIA,8373,0.5
303,碧いうさぎ,酒井法子,1644,0.8571428571428571
304,红眼睛,陈慧琳,2056,1.0
305,障月,满汉全席,4724,0.7142857142857143
306,失落沙洲,徐佳莹,35551,0.8666666666666667
307,愛してる（TV动画《续 夏目友人帐》片尾曲 / TVアニメ「夏目友人帳」第2期EDテーマ）,高鈴,8378,1.0
308,他不爱我,莫文蔚,36639,0.75
309,为何他会离开你,林忆莲,1971,0.7857142857142857
310,他不爱我,金莎,8330,0.0
311,没有人不比我快乐,Fine乐团,23520,0.9166666666666666
312,Jets,Blur,5566,0.8333333333333334
313,我在十点差三分的时候开始想你,花粥,43635,1.0
314,我不难过,孙燕姿,23272,0.8666666666666667
315,失忆蝴蝶,陈奕迅,16596,0.7272727272727273
316,水手,郑智化,22071,1.0
317,背包,苏有朋,2617,0.8
318,情歌一首,Kc,7095,1.0
319,Germaine,Thomas Fersen,1499,0.7857142857142857
320,Omen ft. Galimatias,AstroLogical,1555,0.8333333333333334
321,我知道我失去你了,脆弱少女组,4328,0.7692307692307693
322,A Lover's Concerto,Ukulele Picnic,1078,0.8888888888888888
323,外星人,满舒克,5372,1.0
324,No Good At All,Lucy Rose,1094,0.7692307692307693
325,恋を知らない君へ（日本テレビ系土曜ドラマ『時をかける少女』主題歌）,NEWS,1724,0.8571428571428571
326,谓风,流仙，双笙,7546,0.8
327,如果一生只有三十岁,新青年理发厅,6210,1.0
328,心做し,luz,12026,0.9230769230769231
329,Intro: Singularity,BTS (防弹少年团),3725,0.7857142857142857
330,항상 (HANGSANG),j-hope，Supreme Boi,1473,1.0
331,原谅我不明白你的悲伤,那我懂你意思了,10783,0.9333333333333333
332,白玫瑰,陈奕迅,10739,0.8571428571428571
333,糸,Aimer,2253,0.9333333333333333
334,The Other (Stripped),Lauv,3019,0.8
335,无忌（《不朽凡人》手游同人曲）,萧忆情Alex,2666,0.7333333333333333
336,有多少爱可以重来,迪克牛仔,16487,0.8
337,老酒街,河图,2304,1.0
338,怎样,戴佩妮,74259,1.0
339,掌心,无印良品,1167,0.7142857142857143
340,红蝴蝶,张国荣,1788,0.9230769230769231
341,爱与痛的边缘,王菲,7117,0.8571428571428571
342,我真的好无语啊我只是瞎想了一个歌名结果#￥%&*算了他就叫这个长歌名吧我实在想不出这首歌叫啥,焦迈奇,15118,0.8666666666666667
343,爱殇,小时,5838,0.8333333333333334
344,撒野的辰星,杨格MONO，陈萝莉,1063,0.9166666666666666
345,Rain,秦基博,28159,0.8181818181818182
346,FAKE LOVE,BTS (防弹少年团),22123,0.5
347,Yours To Shake,Greylag,1197,1.0
348,有故事的人,郑欣宜,1251,0.8666666666666667
349,太委屈,陶晶莹,9544,1.0
350,君にありがとう (Bonus Track),福山潤,4962,0.8666666666666667
351,D.C.,Bassy,5957,0.8461538461538461
352,饥饿游戏 ,孔令奇，GAI爷,4393,0.7
353,The Truth Untold (Feat. Steve Aoki),BTS (防弹少年团)，Steve Aoki,5730,0.6666666666666666
354,南瓜车,薛凯琪,1960,1.0
355,さよなら大好きな人,スピッツ,6268,0.5555555555555556
356,最浪漫的事,赵咏华,1363,0.9166666666666666
357,燕尾蝶,Shine,1147,0.8333333333333334
358,134340,BTS (防弹少年团),3232,0.6428571428571429
359,庇护所,Kc,1782,0.9285714285714286
360,Goodnight Moon,Shivaree,9878,0.8
361,红尘,小曲儿,8564,0.8333333333333334
362,平凡最浪漫,王菲,1308,0.8888888888888888
363,Try（《名扬四海》插曲）,Asher Book,36082,0.9285714285714286
364,Catch a Grenade (The Hooligans Remix),Bruno Mars,14679,0.7272727272727273
365,处处吻,杨千嬅,30371,1.0
366,オレンジ ,96猫,4034,1.0
367,La La La Love Song With Naomi Campbell,久保田利伸,2472,0.8666666666666667
368,Angel Down,Lady Gaga,2032,0.9285714285714286
369,约定,周蕙,15396,0.8
370,さくら,高野健一,13535,1.0
371,长沙策长沙,C-BLOCK,5643,0.5
372,忘记的理由,郑欣宜,9645,0.8666666666666667
373,红豆,王菲,29207,0.7857142857142857
374,日曜日の秘密（剧场版《从很久以前就喜欢你了。～告白实行委员会～》插曲）,CHiCO with HoneyWorks，鎖那,1629,0.9285714285714286
375,眼泪,范晓萱,2712,1.0
376,我们（电影《后来的我们》主题曲）,陈奕迅,211458,0.8461538461538461
377,还不是因为你长得不好看,满汉全席,138089,0.0
378,Jailbreak,AWOLNATION,14932,0.8
379,Paradise,BTS (防弹少年团),2735,1.0
380,Duet,Rachael Yamagata,17204,1.0
381,路过蜻蜓,张国荣,8266,0.8666666666666667
382,不染,河图,5517,0.8
383,我们不是说好了吗（《分手合约》主题曲）,彭于晏，白百何,14772,0.8
384,ハルノユキ,リリィ、さよなら,53401,1.0
385,伤痕,林忆莲,4508,0.6428571428571429
386,报菜名,高嘉丰，9m88，Manhand，舟扒皮，薛爆拆,1665,1.0
387,影子,河图,2778,0.75
388,『あ』『い』をあつめて,WEAVER,1136,0.7142857142857143
389,座右铭,吴雨霏,2602,0.6923076923076923
390,アイロニ,majiko,64657,0.9166666666666666
391,Dealbreaker,Rachael Yamagata,21075,0.8571428571428571
392,涉川,不才,11762,0.6153846153846154
393,吻画(万花),河图,1443,0.9
394,多少遗憾,刘若英,1042,1.0
395,偿还,王菲,2727,0.8181818181818182
396,光尘（Light and Dust）,Hello Nico,1831,0.8181818181818182
397,Love Maze,BTS (防弹少年团),3153,1.0
398,Me And My Guitar,Tep No,22082,0.8
399,离人,林志炫,28842,0.8333333333333334
400,无双谱,方力申,1230,0.75
401,大海,张雨生,8157,1.0
402,PCH,Jhameel,6055,0.9285714285714286
403,旧梦,Winky诗,2416,0.8
404,HEAVEN（天堂）,浜崎あゆみ,1500,0.8571428571428571
405,倒带,蔡依林,16234,0.8666666666666667
406,Goodbye,Who Is Fancy,16785,0.75
407,太傻,巫启贤,5553,1.0
408,妻书,玄觞,1947,0.625
409,Magic Shop,BTS (防弹少年团),5902,0.8666666666666667
410,空も飞べるはず,スピッツ,6266,1.0
411,ぼくらのレットイットビー,4円,7026,0.7142857142857143
412,后来我们会怎样,刘惜君,7196,0.6923076923076923
413,太傻(粤),巫启贤,1690,0.6
414,无表面伤痕,郑欣宜,2383,0.8666666666666667
415,墨痕,刘珂矣,3804,0.9
416,囚龙,smile_小千,1197,0.7142857142857143
417,My Personal Song,The Bosshoss,17547,0.6666666666666666
418,流沙,陶喆,5937,0.8571428571428571
419,Yellow,Coldplay,66812,1.0
420,Airplane pt.2,BTS (防弹少年团),4644,0.8
421,吻别,张学友,15412,1.0
422,花のように（像花一样）,松たか子,4354,0.6666666666666666
423,寸缕,河图,5321,0.6666666666666666
424,气球,许哲佩,13529,1.0
425,Let It Be Me,Rosie Thomas,1221,0.7777777777777778
426,All of Me,John Legend,33955,0.6666666666666666
427,最佳拍档（电影《最佳拍档》主题曲）,许冠杰,1692,0.8
428,爱与诚,古巨基,17587,0.8666666666666667
429,Grapevine Valentine (Acoustic Version),Kingsfoil,3227,0.9
430,虹,二宮和也,5290,0.8666666666666667
431,若叶,スピッツ,1110,0.9090909090909091
432,自在 —— 手游《太乙仙魔录之灵飞纪》同人曲,伦桑,2172,0.25
433,STEADY,SPEED,1348,1.0
434,渺小,郑欣宜,1008,0.8333333333333334
435,水星记,郭顶,92310,0.8666666666666667
436,Anpanman,BTS (防弹少年团),3972,0.7142857142857143
437,七友,梁汉文,68163,0.75
438,喜帖街,谢安琪,35883,0.8571428571428571
439,Heartbeat,Christopher,4387,0.8181818181818182
440,空白格,蔡健雅,17499,0.6
441,心有独钟,陈晓东,7466,0.6666666666666666
442,钟无艳,谢安琪,112979,0.5
443,Free Animal,Foreign Air,3986,0.9333333333333333
444,囚鸟,彭羚,9953,0.6428571428571429
445,So What,BTS (防弹少年团),3058,0.8181818181818182
446,候鸟,S.H.E,1967,0.8
447,幸せな结末,大瀧詠一,1109,0.75
448,Outro: Tear,BTS (防弹少年团),4085,0.9
449,情永落,侧田,1568,0.8666666666666667
450,相依为命,陈小春,2038,0.9333333333333333
451,只想一生跟你走,张学友,19028,0.6666666666666666
452,Innocence,Avril Lavigne,31079,0.7333333333333333
453,Frail Love,Cloves,1083,0.8
454,却邪（剑网3浩气战歌）,小曲儿,4261,0.7142857142857143
455,泪海,许茹芸,3059,0.9230769230769231
456,The Moon As a Kite,Amason,1206,1.0
457,刺猬,钟汶,1043,0.8571428571428571
458,Hold Tight,Justin Bieber,1266,0.9166666666666666
459,Falling,赵贤雅,1479,0.6428571428571429
460,漩涡,Huela周静，Lc,1769,0.8666666666666667
461,小幸运（《我的少女时代》电影主题曲）,田馥甄,7548,0.0
462,离歌,信乐团,15231,1.0
463,夏迎春,陈晓琪,3718,0.9333333333333333
464,入梦,龚淑均，小时姑娘,1903,0.6923076923076923
465,我未惊过（电影《最佳拍档之兵马俑风云》主题曲）,张国荣，许冠杰,1996,0.8571428571428571
466,Earned It（电影《五十度灰》主题曲）,The Weeknd,15322,0.9230769230769231
467,恋音と雨空（恋歌与雨天）,AAA,3959,0.6923076923076923
468,大笨钟,刘瑞琦,1293,0.8
469,Tainted Love,Karen Souza,2867,0.7
470,思凡,檀烧,1160,0.7
471,想着你的感觉（原唱 : 巫启贤）,容祖儿,10302,1.0
472,当妮走了,徐真真,30509,0.7777777777777778
473,话蝶,玄觞,1664,0.75
474,朋友（电影《龙兄虎弟》插曲）,谭咏麟,8754,0.8333333333333334
475,INTRO : Ringwanderung,BTS (防弹少年团),1364,0.7333333333333333
476,流氓,Saber梁维嘉,1628,0.8461538461538461
477,琵琶行,奇然，沈谧仁,32185,0.6
478,谷雨,东京塔子,1040,0.7142857142857143
479,让我跟你走,彭羚,3419,0.9166666666666666
480,Lovin' You,Marcela Mangabeira,2333,0.8666666666666667
481,LATATA,(G)I-DLE,3876,0.5
482,Thank You,Dido,15291,0.9333333333333333
483,演员,吴业坤,2224,0.9090909090909091
484,爱的代价(Live) - live,李宗盛,14100,0.9230769230769231
485,慕容雪,薛凯琪,8868,0.75
486,Best Of Me (Japanese Version),BTS (防弹少年团),1059,0.6666666666666666
487,听海,张惠妹,11124,0.6666666666666666
488,定西,李志,23647,0.7142857142857143
489,Imagine (Original Mix),Deep Spelle，Ami G,1035,0.7272727272727273
490,Back in HipHop,Buzzy,2264,0.6153846153846154
491,咖啡走糖,Virgo,1001,0.9333333333333333
492,Best of my Love（TV动画《宇宙战舰大和号2199》ED2 / TVアニメ「宇宙戦艦ヤマト2199」ED2テーマ）,安田レイ,6532,0.7857142857142857
493,飘洋过海来看你,刘明湘,15754,0.5555555555555556
494,你知道我在等你们分手吗?,卫兰,12968,1.0
495,东风志,Aki阿杰,12789,0.7692307692307693
496,Blood Sweat & Tears,BTS (防弹少年团),37162,0.5
497,野孩子,杨千嬅,12591,1.0
498,还你门匙,余文乐,6407,0.7692307692307693
499,醉赤壁（网游《赤壁Online》主题曲）,林俊杰,103841,0.8
500,ALWAYS,尹美莱,11248,0.8333333333333334
501,情歌,陈珊妮,25802,0.6666666666666666
502,如果爱下去,张靓颖,6308,1.0
503,直觉（TVB电视剧《甜言蜜语》主题曲）,郑欣宜,1542,0.9090909090909091
